episode_idx,reward,actor_loss,critic_loss,wall_time
0,1453.395370530499,-0.1172906905412674,34.614967346191406,1.0318793000187725
1,-1064.5892616612027,-0.09517356753349304,32.505653381347656,1.2009785000700504
2,-12611.108676032056,-0.038882311433553696,34.020179748535156,1.8953521000221372
3,-1578.620774624251,-0.04292785003781319,17.35440444946289,4.403066599974409
4,-1393.5005066856816,-0.05510112643241882,30.25436782836914,4.647134799975902
5,-4860.003260623063,-0.024774419143795967,23.339111328125,5.134388600010425
6,-135.30068795519443,-0.010293122380971909,16.827842712402344,5.777387500042096
7,-5524.16442677466,-0.02750583179295063,26.563865661621094,6.225174100138247
8,-5665.930740514135,-0.013916436582803726,21.560932159423828,6.944382500136271
9,-5109.0665523892185,-0.007716929540038109,25.811458587646484,7.556962799979374
10,-1852.2484157310248,-0.011396492831408978,13.604995727539062,8.058400199981406
11,-2015.6020837799804,-0.01630663126707077,27.85588264465332,8.567178500117734
12,-3930.134016043902,0.0454426072537899,29.784452438354492,9.046156500000507
13,-1583.8097144937067,-0.023119602352380753,18.843097686767578,9.445740299997851
14,-198.44576563673604,-0.013608601875603199,23.790502548217773,9.968695800052956
15,-1884.4749176113603,-0.00781774427741766,15.172868728637695,10.869899699930102
16,-3156.698799451633,-0.00924490112811327,12.872200965881348,11.643085400108248
17,-158.82446623034977,-0.01917695626616478,10.68544864654541,12.479209800017998
18,373.8930613662113,0.018869275227189064,27.247129440307617,12.832772300112993
19,-1320.4947611443306,-0.006470400840044022,15.959888458251953,13.630988900084049
20,-5977.171020592384,0.01770389825105667,23.217416763305664,14.611546700121835
21,-983.4997659186597,-0.009525745175778866,14.665518760681152,15.61170250014402
22,-386.22085146653785,0.017025932669639587,13.745121002197266,16.380121000111103
23,178.14954673219358,0.03986586630344391,22.12287712097168,16.770337300142273
24,-143.65820605777054,0.06415831297636032,15.682052612304688,17.68894340004772
25,-939.6831817901198,0.005038442090153694,18.41978645324707,18.383965200046077
26,-1091.0676384062374,-0.04228483885526657,25.181678771972656,18.670439100125805
27,-1839.3396707013878,0.01441105641424656,11.520195007324219,19.434373900061473
28,1655.0397110595438,0.06053321808576584,14.448561668395996,20.186619899934158
29,1426.19232043885,0.02340603992342949,14.79171085357666,21.361775500001386
30,1426.8532710651284,0.039783213287591934,15.014066696166992,22.598729399964213
31,1583.1942087431053,0.02412750944495201,15.570533752441406,23.450559000018984
32,-11695.637188742612,0.017391938716173172,28.150524139404297,24.19855730002746
33,7240.436450654483,0.030987493693828583,17.73424530029297,25.043305200058967
34,561.1319248421373,-0.0021021319553256035,15.933357238769531,26.179758599959314
35,-1279.1620207952878,-0.03566445782780647,29.64599609375,26.514534099958837
36,1017.6246365698336,0.020099205896258354,12.158793449401855,27.28275949996896
37,-1448.7074947820906,0.01240481622517109,17.025896072387695,28.559527999954298
