episode_idx,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.02033318430021005,19895.56135770235,200000.0,34.58193779247297,0.05524627347036801,0.892259111115711,1149,1.0
1,0.022986405880401697,19985.22117138195,31360.67432751338,37.4383527400022,0.05517394764446464,0.9102445284549364,1061,1.0
2,0.023372427880174785,19964.601769911504,60000.0,35.14228762109586,0.05447813801836787,0.9021324544591435,1130,1.0
3,0.026312757798873824,19982.593559617057,40000.0,34.586344911113045,0.062804724540241,0.9445808599064317,1149,1.0
4,0.026409931033979386,20000.0,0.0,36.47526006152666,0.061175626493570334,0.9293449745906855,1090,1.0
5,0.02448319677876387,19951.535129667245,102551.66562411311,37.5595831926252,0.061727563840234374,0.8803221500790225,1058,1.0
6,0.024634395577958695,19980.372914622178,40000.0,38.99712773254407,0.061166279044662986,0.9478853548712238,1019,1.0
7,0.02278417278126272,20000.0,0.0,40.21498776840731,0.06067488719208214,0.9290617097261007,988,1.0
8,0.02596945244181996,19919.8944090794,39999.926755362976,40.96640108215485,0.062676878039019,0.9125761687319953,970,1.0
9,0.025727077878048035,20000.0,0.0,39.46914368621589,0.06348081321024601,0.8966448232015378,1007,1.0
10,0.026509063017180402,19956.709956709958,40000.0,43.00149313596977,0.06269057187049576,0.9585835462522768,924,1.0
11,0.021823363056815336,19937.23849372385,80000.0,41.516880488464864,0.05445853387277388,0.9271581488612948,956,1.0
12,0.02724046451259032,20000.0,0.0,42.25628030132107,0.06193049651964522,0.9207960129143142,941,1.0
13,0.023664345759828537,19979.36016511868,40000.0,40.97648726843052,0.06007343068191595,0.9264897507564597,969,1.0
14,0.028636663613101434,19956.474428726877,40000.0,43.2636036852578,0.06256845614071693,0.8931105677214904,919,1.0
15,0.023777783987952793,20000.0,0.0,41.05226027551326,0.05873760019481189,0.9531859441246656,968,1.0
16,0.02686715261103477,19992.386963533296,13444.622400201297,44.991848485524436,0.06189353977705814,0.9429652622077576,883,1.0
17,0.02575999359390315,20000.0,0.0,42.2739455864485,0.06152240382444951,0.9136437937762001,940,1.0
18,0.025554192466935285,20000.0,0.0,43.0028384538344,0.06200642883684715,0.9459666575328521,924,1.0
19,0.02681998774859492,20000.0,0.0,44.51579729040489,0.06304153785122502,0.8917330622757089,893,1.0
20,0.02473441754511126,19977.32426303855,20000.0,45.05115018191509,0.058104371972131474,0.9299624961574094,882,1.0
21,0.0226396017285309,20000.0,0.0,42.60259574042401,0.05833587823303092,0.9737129315662769,932,1.0
22,0.023466442248522484,20000.0,0.0,42.887701153897524,0.05761904496090015,0.966770877390873,926,1.0
23,0.024459432701112463,20000.0,0.0,44.023009863205715,0.058169172729261476,0.976660870613189,902,1.0
24,0.026153553168061706,19977.68697597565,22260.86750212653,41.94508083404691,0.06050922536236314,0.8854077812483743,947,1.0
25,0.02742666669164857,19955.94713656388,60000.0,43.78230081466421,0.06385104558700405,0.9149356924151415,908,1.0
26,0.025031036781124123,19978.16593886463,20000.0,43.39790828163598,0.06321356012695212,0.9667608359899988,916,1.0
27,0.026545564372661992,19995.008810379317,8844.388007853468,44.827350353089436,0.06342506680820392,0.9013685571829219,886,1.0
28,0.024634967194179076,19918.533604887984,80000.0,40.4715518072168,0.05694305442138067,0.8745535338574495,982,1.0
29,0.025681097292222607,19930.82112271418,68672.71175162279,42.7170843695289,0.060633405321901535,0.9705876943140713,930,1.0
30,0.026657661878184736,19955.995599559956,20000.0,43.71177786352518,0.060454785284681734,0.921611190945512,909,1.0
31,0.025467271788035664,20000.0,0.0,45.82342395507308,0.05722719308059432,0.9290712839464659,867,1.0
32,0.02569700769761801,19991.39721985835,16207.637786860687,42.17910811828258,0.060659677037101296,0.9482513550296994,942,1.0
33,0.025220354676867455,19978.30802603037,40000.0,43.086321349868754,0.06105545341870489,0.8926573112258254,922,1.0
34,0.025001044469143426,19973.94793327836,49082.093703566956,42.17290193787255,0.06017885284055702,0.9349210855087672,942,1.0
35,0.024492579612058914,20000.0,0.0,42.569627542958116,0.06262749796374933,0.9155861717957154,933,1.0
36,0.02808940246620629,20000.0,0.0,43.63629688945084,0.06252709384351895,0.9353606690742671,911,1.0
37,0.023240359553459135,20000.0,0.0,44.19448937523082,0.05143792365466065,0.9322712209999515,899,1.0
