episode_idx,reward,actor_loss,critic_loss,wall_time
0,17.540294451786053,-0.08854158222675323,26.508867263793945,2.125814300001366
1,154.66037465274275,-0.07736490666866302,36.94267272949219,2.5048093000077643
2,155.14355784636768,-0.08186124265193939,41.06687927246094,2.9667912000004435
3,-7901.429141910998,-0.040829092264175415,28.60658073425293,4.920378000009805
4,-8796.554632394998,-0.0227902140468359,26.154014587402344,7.096245400010957
5,-848.9460418327558,-0.050206176936626434,31.151222229003906,7.834046200005105
6,-283.5164633920691,-0.06511445343494415,37.591426849365234,8.454979400004959
7,-129.30033569800975,-0.07812470197677612,38.99504089355469,8.899245599997812
8,-460.8604955033577,-0.03878125548362732,20.032365798950195,9.813152500006254
9,-11467.906862061594,0.02001136541366577,32.17068862915039,13.014643900009105
10,-13259.917975699316,0.025026068091392517,36.04409408569336,16.411469099999522
11,-5995.217042780059,0.036493923515081406,40.48055648803711,17.806031100000837
12,-8402.463961588308,0.018363045528531075,38.84817123413086,19.989764099998865
13,-631.3484272249816,-0.005570545792579651,28.838340759277344,20.987129000001005
14,-1946.3942494771047,0.040404293686151505,27.837358474731445,22.309594800011837
15,-1982.2612824288644,0.06676428765058517,33.38599395751953,23.331259900005534
16,-875.7250673482946,0.037002258002758026,36.540382385253906,24.409801600006176
17,-972.5498429931502,0.06889607012271881,32.533287048339844,25.22057990000758
18,-474.86484970655704,-0.0016064569354057312,30.786972045898438,26.24911710000015
19,-5358.203598058957,0.003881191834807396,37.6099967956543,27.72164150000026
20,-6676.0464324573195,0.06548239290714264,47.531375885009766,29.534280500010937
21,-3943.702424530187,-0.0015121512115001678,30.165328979492188,31.05885310001031
22,-2544.1561073463363,-0.0023351889103651047,37.162017822265625,32.32151980001072
23,-2197.112094103317,0.01887550950050354,33.32602310180664,33.81595319999906
24,-1002.2509402671773,0.03434235230088234,34.23175048828125,34.91982960001042
25,-1322.3158684885314,0.009387645870447159,32.57392501831055,35.92796860000817
