L,alpha,corner_phase,dist_to_turn,e_n,exit_timer,progress,reward,seed,step,tag,toggle_count,turn_sign,v_ratio_exec,w_center
,,0,,0.0,,0.0005000000000000001,-3.9854,42,1,line_0,0,0,0.030000000000000006,0.0
,,0,,0.0,,0.0020000000000000005,-3.168599999999998,42,2,line_0,0,0,0.09000000000000002,0.0
,,0,,0.0,,0.005000000000000002,-2.0243999999999995,42,3,line_0,0,0,0.18000000000000005,0.0
,,0,,0.0,,0.010000000000000002,-0.6499999999999998,42,4,line_0,0,0,0.30000000000000004,0.0
,,0,,0.0,,0.017500000000000005,0.825000000000001,42,5,line_0,0,0,0.45000000000000007,0.0
,,0,,0.0,,0.028000000000000008,2.238600000000001,42,6,line_0,0,0,0.6300000000000001,0.0
,,0,,0.0,,0.04183333333333334,4.686600000000004,42,7,line_0,0,0,0.8300000000000001,0.0
,,0,,0.0,,0.05850000000000002,3.9233333333333342,42,8,line_0,0,0,1.0,0.0
,,0,,0.0,,0.07516666666666667,3.9233333333333333,42,9,line_0,0,0,1.0,0.0
,,0,,0.0,,0.09183333333333334,3.9233333333333333,42,10,line_0,0,0,1.0,0.0
,,0,,0.0,,0.1085,3.9233333333333333,42,11,line_0,0,0,1.0,0.0
,,0,,0.0,,0.12516666666666668,3.9233333333333342,42,12,line_0,0,0,1.0,0.0
,,0,,0.0,,0.14183333333333334,3.9233333333333333,42,13,line_0,0,0,1.0,0.0
,,0,,0.0,,0.1585,5.2566666666666695,42,14,line_0,0,0,1.0,0.0
,,0,,0.0,,0.17516666666666666,7.923333333333333,42,15,line_0,0,0,1.0,0.0
,,0,,0.0,,0.19183333333333333,7.923333333333333,42,16,line_0,0,0,1.0,0.0
,,0,,0.0,,0.20850000000000002,7.923333333333334,42,17,line_0,0,0,1.0,0.0
,,0,,0.0,,0.2251666666666667,7.923333333333334,42,18,line_0,0,0,1.0,0.0
,,0,,0.0,,0.24183333333333337,7.923333333333333,42,19,line_0,0,0,1.0,0.0
,,0,,0.0,,0.25850000000000006,7.923333333333334,42,20,line_0,0,0,1.0,0.0
,,0,,0.0,,0.2751666666666667,7.923333333333333,42,21,line_0,0,0,1.0,0.0
,,0,,0.0,,0.29183333333333344,7.923333333333334,42,22,line_0,0,0,1.0,0.0
,,0,,0.0,,0.3085000000000001,7.923333333333333,42,23,line_0,0,0,1.0,0.0
,,0,,0.0,,0.32516666666666677,7.923333333333333,42,24,line_0,0,0,1.0,0.0
,,0,,0.0,,0.34183333333333343,7.923333333333333,42,25,line_0,0,0,1.0,0.0
,,0,,0.0,,0.3585000000000001,7.923333333333333,42,26,line_0,0,0,1.0,0.0
,,0,,0.0,,0.3751666666666668,7.923333333333334,42,27,line_0,0,0,1.0,0.0
,,0,,0.0,,0.3918333333333335,7.923333333333333,42,28,line_0,0,0,1.0,0.0
,,0,,0.0,,0.40850000000000014,7.923333333333333,42,29,line_0,0,0,1.0,0.0
,,0,,0.0,,0.42516666666666686,7.923333333333334,42,30,line_0,0,0,1.0,0.0
,,0,,0.0,,0.4418333333333335,7.923333333333333,42,31,line_0,0,0,1.0,0.0
,,0,,0.0,,0.4585000000000002,7.923333333333333,42,32,line_0,0,0,1.0,0.0
,,0,,0.0,,0.4751666666666669,7.923333333333334,42,33,line_0,0,0,1.0,0.0
,,0,,0.0,,0.49183333333333357,7.923333333333333,42,34,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5085000000000003,7.923333333333334,42,35,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5251666666666669,7.923333333333332,42,36,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5418333333333336,7.923333333333334,42,37,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5585000000000003,7.923333333333334,42,38,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5751666666666669,7.923333333333332,42,39,line_0,0,0,1.0,0.0
,,0,,0.0,,0.5918333333333337,7.923333333333334,42,40,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6085000000000004,7.923333333333334,42,41,line_0,0,0,1.0,0.0
,,0,,0.0,,0.625166666666667,7.923333333333332,42,42,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6418333333333337,7.923333333333334,42,43,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6585000000000004,7.923333333333334,42,44,line_0,0,0,1.0,0.0
,,0,,0.0,,0.675166666666667,7.923333333333332,42,45,line_0,0,0,1.0,0.0
,,0,,0.0,,0.6918333333333336,7.923333333333332,42,46,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7085000000000002,7.923333333333332,42,47,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7251666666666668,7.923333333333332,42,48,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7418333333333335,7.923333333333332,42,49,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7585000000000001,7.923333333333332,42,50,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7751666666666667,7.923333333333332,42,51,line_0,0,0,1.0,0.0
,,0,,0.0,,0.7918333333333333,7.923333333333332,42,52,line_0,0,0,1.0,0.0
,,0,,0.0,,0.8084999999999999,7.92642363898292,42,53,line_0,0,0,1.0,0.0
