case,seed,step,x,y,heading,d_heading,theta_u_policy,v_ratio_policy,omega_intent,v_intent,omega_exec,v_exec,v_ratio_exec,v_ratio_cap,max_vel_cap_phys,kappa,e_n,contour_error,reward
open_line,42,1,0.003000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.030000000000000006,0.030000000000000006,1.0,1.0,0.0,0.0,0.0,-3.9878999999999993
open_line,42,2,0.012000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09000000000000002,0.09000000000000002,1.0,1.0,0.0,0.0,0.0,-3.176099999999998
open_line,42,3,0.03000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.18000000000000005,0.18000000000000005,1.0,1.0,0.0,0.0,0.0,-2.039399999999999
open_line,42,4,0.06000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.30000000000000004,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,-0.6749999999999993
open_line,42,5,0.10500000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45000000000000007,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,0.7875000000000004
open_line,42,6,0.16800000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6300000000000001,0.6300000000000001,1.0,1.0,0.0,0.0,0.0,2.1861000000000006
open_line,42,7,0.25100000000000006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8300000000000001,0.8300000000000001,1.0,1.0,0.0,0.0,0.0,4.617433333333338
open_line,42,8,0.3510000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,9,0.45100000000000007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,10,0.551,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,11,0.651,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,12,0.751,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,13,0.851,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8400000000000003
open_line,42,14,0.951,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.173333333333337
open_line,42,15,1.051,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,16,1.151,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,17,1.2510000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,18,1.3510000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,19,1.4510000000000003,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,20,1.5510000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,21,1.6510000000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,22,1.7510000000000006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,23,1.8510000000000006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,24,1.9510000000000007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,25,2.0510000000000006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,26,2.1510000000000007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,27,2.251000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,28,2.351000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,29,2.451000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,30,2.551000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,31,2.651000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,32,2.7510000000000012,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,33,2.8510000000000013,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,34,2.9510000000000014,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,35,3.0510000000000015,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,36,3.1510000000000016,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
open_line,42,37,3.2510000000000017,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.84
