alpha,case,contour_error,dkappa_exec,done,kappa_exec,omega_exec,progress,reward,seed,step,tag,v_exec,v_ratio_cap,v_ratio_exec
0.0,open_square,0.0,0.0,0,0.0,0.0,0.0003333333333333331,-3.7487333333333326,1042,1,baseline,0.030000000000000006,1.0,0.030000000000000006
0.0,open_square,0.0,0.0,0,0.0,0.0,0.0013333333333333324,-2.9385999999999988,1042,2,baseline,0.09000000000000002,1.0,0.09000000000000002
0.0,open_square,0.0,0.0,0,0.0,0.0,0.0033333333333333314,-1.8043999999999996,1042,3,baseline,0.18000000000000005,1.0,0.18000000000000005
0.0,open_square,0.0,0.0,0,0.0,0.0,0.006666666666666663,-0.443333333333333,1042,4,baseline,0.30000000000000004,1.0,0.30000000000000004
0.0,open_square,0.0,0.0,0,0.0,0.0,0.011666666666666659,1.0150000000000003,1042,5,baseline,0.45000000000000007,1.0,0.45000000000000007
0.0,open_square,0.0,0.0,0,0.0,0.0,0.018666666666666658,2.4086000000000003,1042,6,baseline,0.6300000000000001,1.0,0.6300000000000001
0.05925259366343294,open_square,0.00029879935459241834,0.043373441718744916,0,0.043373441718744916,0.036000000000000004,0.02788882912895341,0.8395810124147508,1042,7,baseline,0.8300000000000001,1.0,0.8300000000000001
0.0873454508799898,open_square,0.001302221533407838,0.02097039573144039,0,0.0643438374501853,0.06434390179402275,0.03899938086150107,2.5257799185331278,1042,8,baseline,1.0,1.0,1.0
0.1212155787709217,open_square,0.0031984935974795773,0.024950744217068083,0,0.08929458166725339,0.08929467096183505,0.05010849409980543,2.8156411427405987,1042,9,baseline,1.0,1.0,1.0
0.1549283955995815,open_square,0.006235707729731745,0.02483485956230959,0,0.11412944122956298,0.1141295553590042,0.06121447921201087,2.928390312239612,1042,10,baseline,1.0,1.0,1.0
0.18846990615759873,open_square,0.010660326492400198,0.024708665207350378,0,0.13883810643691336,0.13883824527501978,0.07231470874406377,2.6017169037745576,1042,11,baseline,1.0,1.0,1.0
0.22178932194350853,open_square,0.016716515281267608,0.024545057031182732,0,0.1633831634680961,0.16338332685125953,0.08340542479112151,2.1936111342777775,1042,12,baseline,1.0,1.0,1.0
0.2547958368394645,open_square,0.024645061049996198,0.024314555685109512,0,0.1876977191532056,0.18769790685092475,0.09448155760222929,1.7017871882036046,1042,13,baseline,1.0,1.0,1.0
0.28735694019226576,open_square,0.034581484750991195,0.02612466079719042,0,0.21382237995039602,0.211684369973272,0.10542601190794074,1.161379081761384,1042,14,baseline,0.99,1.0,0.99
0.31875461317660125,open_square,0.04633307088266069,0.0333497603467488,0,0.24717214029714482,0.23481378045442788,0.1159004960275867,0.6007329615598705,1042,15,baseline,0.95,1.0,0.95
0.34709183835553015,open_square,0.059447728149921095,0.04338284928465244,0,0.29055498958179726,0.25568868138697115,0.1255690818937507,-0.02527255684640798,1042,16,baseline,0.8799999999999999,1.0,0.8799999999999999
0.37043393763647714,open_square,0.07356244432197717,0.04962347643414472,0,0.340178466015942,0.2728838727640605,0.13434310584533563,2.260930816523997,1042,17,baseline,0.8021775622117309,1.0,0.8021775622117309
0.38820398942391243,open_square,0.08895358922546338,0.03891882006869779,0,0.3790972860846398,0.28597435951026123,0.14254851598171295,-1.517454621696963,1042,18,baseline,0.7543551244234619,1.0,0.7543551244234619
0.40213411833557,open_square,0.10611017551562141,0.02310580925300143,0,0.4022030953376412,0.29623612858511883,0.15050709356701955,-2.078191215493832,1042,19,baseline,0.7365326866351929,1.0,0.7365326866351929
0.413972642691959,open_square,0.12576240642506611,0.005106260133222962,0,0.40730935547086417,0.30495709620162637,0.1585344081923104,-2.566486748979551,1042,20,baseline,0.7487102488469238,1.0,0.7487102488469238
0.42540344291549914,open_square,0.14889513561227,0.010944958740216282,0,0.3963643967306479,0.3133777097493327,0.16693474920083456,-2.976399309358631,1042,21,baseline,0.7906293198122274,1.0,0.7906293198122274
0.43797958090858735,open_square,0.17483999607827994,0.005657025940078886,0,0.40202142267072677,0.32264204784390804,0.17537312670768326,-3.8098219838861276,1042,22,baseline,0.8025483907775309,1.0,0.8025483907775309
0.44978857492692104,open_square,0.2026824811418941,0.01979671638310626,0,0.42181813905383303,0.33134126164092487,0.18353431063478312,-4.311394560533353,1042,23,baseline,0.7855063809394399,1.0,0.7855063809394399
0.4591366465764679,open_square,0.23291709187245774,0.009845979334123123,0,0.43166411838795615,0.3382276123108454,0.19156608145286336,-3.2656553786959837,1042,24,baseline,0.7835424957483885,1.0,0.7835424957483885
0.46688790982105344,open_square,0.26555155231389,0.008201627821010582,0,0.43986574620896673,0.34393765806554066,0.19946114023191616,-1.8645818659281774,1042,25,baseline,0.7819140752924199,1.0,0.7819140752924199
0.47306141300221904,open_square,0.30058367510955863,0.0065566761074554725,0,0.4464224223164222,0.34848543105671553,0.20721219051407844,-2.4595313896748685,1042,26,baseline,0.7806171178097515,1.0,0.7806171178097515
0.4776947917137546,open_square,0.33800171149639435,0.004935290253275104,0,0.4513577125696973,0.3518986559217309,0.2148120067902744,-3.0104274204295676,1042,27,baseline,0.7796437166445433,1.0,0.7796437166445433
0.4808424565587859,open_square,0.3777847863463622,0.0033598027797021035,0,0.4547175153493994,0.3542174147766994,0.22225350155324647,-3.5145091328556184,1042,28,baseline,0.7789824409710895,1.0,0.7789824409710895
0.4825733636406122,open_square,0.41990340996764813,0.0018499941310086698,0,0.4565675094804081,0.35549250482621597,0.2295297897523443,-3.9701480072953568,1042,29,baseline,0.7786188041791903,1.0,0.7786188041791903
0.4829685439919591,open_square,0.4643200568370535,0.0004226112253715719,0,0.45699012070577966,0.355783618392656,0.23663424943108918,-4.378577719693972,1042,30,baseline,0.7785357829028351,1.0,0.7785357829028351
0.48211855176285967,open_square,0.5109898001249286,0.0009088816794084464,0,0.4560812390263712,0.3551574630982034,0.24356057735470243,-4.74056379073574,1042,31,baseline,0.7787143531164383,1.0,0.7787143531164383
0.48012096521239256,open_square,0.5598609898596731,0.002134343977875597,0,0.4539468950484956,0.35368592094536805,0.250302838532864,-5.0591903085460945,1042,32,baseline,0.7791340151378024,1.0,0.7791340151378024
0.4770780443989664,open_square,0.6108759619225221,0.0032468280277593853,0,0.45070006702073623,0.3514443228310587,0.25685550870438334,-5.336967074546947,1042,33,baseline,0.7797732857111426,1.0,0.7797732857111426
0.4730946190447676,open_square,0.6310784184639413,0.004242318740885931,0,0.4464577482798503,0.3485098926207602,0.4071079738674454,-2.756907419743043,1042,34,baseline,0.7806101417340795,1.0,0.7806101417340795
0.8368635408909157,open_square,0.5769242936755425,0.051391373287599906,0,0.4978491215674502,0.3815754624104617,0.4131343979572353,-11.80647400639579,1042,35,baseline,0.7664469977570164,1.0,0.7664469977570164
