episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,-1199.34840049031,0.040756650269031525,0.3780733346939087,1.5
1,-1082.5857136835473,0.08111926168203354,0.37603384256362915,1.5
2,-1131.9171498371525,0.12979726493358612,0.3117309808731079,1.5
3,-1080.5108915489247,0.13606159389019012,0.22493720054626465,1.5
4,-1084.9343917022645,0.13938167691230774,0.2056596428155899,1.5
5,-1004.7186865530327,0.1311561018228531,0.16803140938282013,1.5
6,-985.8707010497105,0.11512574553489685,0.12918584048748016,1.5
7,-978.7058694026091,0.09827177226543427,0.1388668417930603,1.5
8,-972.8905026936351,0.11564832925796509,0.14985999464988708,1.5
9,-946.057598420091,0.11248055100440979,0.2024265080690384,1.5
10,-950.072952258607,0.10182490944862366,0.254183828830719,1.5
11,-979.6078988519176,0.09818405658006668,0.29643601179122925,1.5
12,-989.2262779590645,0.07425548136234283,0.3146842420101166,1.5
13,-957.7599730503265,0.07685934752225876,0.382284939289093,1.5
14,-985.9048770252085,0.08313778042793274,0.3946751654148102,1.5
15,-982.2571181806945,0.09870532155036926,0.4074961841106415,1.5
16,-935.1225556988712,0.09629978239536285,0.4094023108482361,1.5
17,-950.6536130621244,0.09487567096948624,0.40827441215515137,1.5
18,-950.3927362541284,0.08965467661619186,0.4110024869441986,1.5
19,-942.3335051247464,0.07523788511753082,0.4345690906047821,1.5
20,-953.8346770478032,0.08138427138328552,0.42973506450653076,1.5
21,-911.9306078666635,0.07052330672740936,0.44469398260116577,1.5
22,-983.7260837538079,0.09049729257822037,0.4401979148387909,1.5
23,-927.4692214589392,0.07560467720031738,0.4370887875556946,1.5
24,-950.1560279300566,0.0679069384932518,0.431438684463501,1.5
25,-963.0084223713761,0.08614063262939453,0.443541020154953,1.5
26,-966.5682696973587,0.08232100307941437,0.4392532408237457,1.5
27,-938.9100568454919,0.06949125975370407,0.43579497933387756,1.5
28,-979.8563024193677,0.07356854528188705,0.43372827768325806,1.5
29,-929.4440834804292,0.07298120856285095,0.4320756793022156,1.5
30,-945.4846358038805,0.07144264876842499,0.4356440603733063,1.5
31,-956.0725006727172,0.0853060707449913,0.4390202462673187,1.5
32,-947.5965579753821,0.07472579181194305,0.4403475821018219,1.5
33,-972.8977921970554,0.07557431608438492,0.4527026116847992,1.5
34,-979.1913390877061,0.07349362969398499,0.4441734254360199,1.5
35,-888.2589600325873,0.0698026493191719,0.45430198311805725,1.5
36,-972.5032594452927,0.08347427845001221,0.4439399540424347,1.5
37,-966.6191303974452,0.08390307426452637,0.4489929676055908,1.5
38,-949.0165126992567,0.07232490181922913,0.4333571791648865,1.5
39,-949.5342112832121,0.06463463604450226,0.4543860852718353,1.5
40,-892.9590739432164,0.07843384146690369,0.4543403387069702,1.5
41,-965.0587496385715,0.09636818617582321,0.45906010270118713,1.5
42,-989.4629679298864,0.07434195280075073,0.455557644367218,1.5
43,-1022.9652707941997,0.07693066447973251,0.44757193326950073,1.5
44,-968.2636944967164,0.07652758806943893,0.4457075595855713,1.5
