episode_idx,total_reward,actor_loss,critic_loss,epsilon
0,-1262.697106209977,0.03605678305029869,0.3852726221084595,1.5
1,-1157.0126809915923,0.08266204595565796,0.39290058612823486,1.5
2,-1240.618347581456,0.11377541720867157,0.3252352774143219,1.5
3,-1130.7997695889467,0.13211867213249207,0.23139110207557678,1.5
4,-1168.2208994601358,0.11139969527721405,0.19268353283405304,1.5
5,-1121.769330590323,0.11739075183868408,0.1665836125612259,1.5
6,-1101.2962038218789,0.118250772356987,0.1377713829278946,1.5
7,-1000.1011602439835,0.10258640348911285,0.15961146354675293,1.5
8,-994.9521219215661,0.07516585290431976,0.20898649096488953,1.5
9,-1004.2862857758798,0.09393753111362457,0.277506947517395,1.5
10,-1044.0722066231026,0.09305617213249207,0.3289780616760254,1.5
11,-989.1639228396788,0.07000695168972015,0.3418196737766266,1.5
12,-1065.7705310392048,0.07287095487117767,0.3931143581867218,1.5
13,-1021.8415540823869,0.07172194123268127,0.4577353596687317,1.5
14,-1041.9728600017575,0.074709951877594,0.4537026882171631,1.5
15,-1055.8877711534717,0.06738044321537018,0.45520517230033875,1.5
16,-979.0553459166599,0.06585290282964706,0.4509125053882599,1.5
17,-1007.6728036167959,0.06484554708003998,0.4682576060295105,1.5
18,-1003.8060589503222,0.07017122209072113,0.456313818693161,1.5
19,-1000.5727260681361,0.05909710377454758,0.482889860868454,1.5
20,-1004.5302143776305,0.06785501539707184,0.4895554482936859,1.5
21,-1003.4982516446399,0.0620252899825573,0.49786972999572754,1.5
22,-1009.3113067486331,0.06348343193531036,0.4820944368839264,1.5
23,-992.2617376380407,0.06403812021017075,0.4922787845134735,1.5
24,-1011.7439905440779,0.06281576305627823,0.4840221703052521,1.5
25,-986.3332852087461,0.053534217178821564,0.5034142732620239,1.5
26,-1061.1321833701106,0.058758921921253204,0.5066488981246948,1.5
27,-996.5567433342983,0.06430752575397491,0.5014457106590271,1.5
28,-1031.4222487595798,0.05565092712640762,0.5029773712158203,1.5
29,-1047.432723238429,0.06482040137052536,0.48784956336021423,1.5
30,-995.6024392640119,0.056111909449100494,0.5052391290664673,1.5
31,-965.8867724828959,0.07643957436084747,0.5127190947532654,1.5
32,-1024.698513507848,0.04849731922149658,0.5084500908851624,1.5
33,-1045.396960286954,0.055446937680244446,0.4878617525100708,1.5
34,-1022.1357326206142,0.06071818619966507,0.5091218948364258,1.5
35,-1063.983344807487,0.05939369648694992,0.5020737648010254,1.5
36,-1054.6086925901047,0.07111631333827972,0.5161803364753723,1.5
37,-1056.5435140325535,0.06053757295012474,0.5097088813781738,1.5
38,-989.816421942114,0.05879807099699974,0.5064024329185486,1.5
39,-1025.8839327900887,0.05630352348089218,0.5093386769294739,1.5
40,-922.7579279750144,0.06569170206785202,0.4974070191383362,1.5
41,-1030.1895587924057,0.05014945566654205,0.5100131034851074,1.5
42,-1013.013068591647,0.055650196969509125,0.5102210640907288,1.5
43,-1053.8721074749974,0.057923831045627594,0.5137119889259338,1.5
44,-1011.7730145133414,0.05131196230649948,0.513778805732727,1.5
45,-1006.8975229781005,0.05738045275211334,0.5088033080101013,1.5
46,-999.7212975677005,0.05210191011428833,0.5031397342681885,1.5
47,-1042.558389956699,0.06086566299200058,0.5111991167068481,1.5
48,-1027.1989074050111,0.05345480144023895,0.500542938709259,1.5
49,-1001.6390018827385,0.060550909489393234,0.510138213634491,1.5
50,-1036.8778807232443,0.06500881165266037,0.514715850353241,1.5
51,-1024.653219156897,0.06430228054523468,0.5142092108726501,1.5
52,-984.5163124726639,0.05391275882720947,0.5126014351844788,1.5
53,-991.1726675515143,0.05877459794282913,0.5067286491394043,1.5
54,-1010.4754599256671,0.06066436320543289,0.507453978061676,1.5
55,-1071.278924130016,0.05363050103187561,0.5037214159965515,1.5
56,-999.5866409270368,0.06271607428789139,0.520333468914032,1.5
57,-1004.1564875025769,0.061328254640102386,0.5124527215957642,1.5
58,-995.6662154690188,0.05618157610297203,0.5080148577690125,1.5
59,-1014.5120267474547,0.05436418950557709,0.5103296637535095,1.5
60,-987.852218053251,0.05166354030370712,0.5177782773971558,1.5
61,-1004.7685147775906,0.061541177332401276,0.5067547559738159,1.5
62,-1056.018818942057,0.06527043879032135,0.5055530667304993,1.5
